"No.","Time","Source","Destination","Protocol","Length","Info"
"44","0.378481736","172.27.26.33","172.217.18.138","QUIC","116","Protected Payload (KP0)"
"45","0.378484928","172.27.26.33","172.217.18.138","QUIC","74","Protected Payload (KP0)"
"46","0.378488156","172.27.26.33","172.217.18.138","QUIC","1288","Protected Payload (KP0)"
"47","0.378492519","172.27.26.33","172.217.18.138","QUIC","1292","Protected Payload (KP0)"
"48","0.378496556","172.27.26.33","172.217.18.138","QUIC","1292","Protected Payload (KP0)"
"49","0.378500099","172.27.26.33","172.217.18.138","QUIC","792","Protected Payload (KP0)"
"50","0.378513527","172.27.26.33","172.217.18.138","QUIC","163","Protected Payload (KP0)"
"51","0.378513589","172.27.26.33","172.217.18.138","QUIC","72","Protected Payload (KP0)"
"52","0.378513635","172.27.26.33","10.4.10.40","DNS","71","Standard query 0xe242 A i.ytimg.com"
"53","0.378513681","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=1401 Win=177 Len=0 TSval=2969281474 TSecr=1341834971"
"54","0.378513726","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=2801 Win=183 Len=0 TSval=2969281475 TSecr=1341834971"
"55","0.378513772","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=4201 Win=188 Len=0 TSval=2969281475 TSecr=1341834971"
"56","0.378513817","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=4682 Win=193 Len=0 TSval=2969281475 TSecr=1341834971"
"57","0.378513871","172.27.26.33","172.217.18.138","TLSv1.2","140","Change Cipher Spec, Application Data"
"58","0.378518756","172.27.26.33","172.217.18.138","QUIC","163","Protected Payload (KP0)"
"59","0.378521986","172.27.26.33","172.217.18.138","QUIC","72","Protected Payload (KP0)"
"60","0.378524928","172.27.26.33","10.4.10.40","DNS","71","Standard query 0xe242 A i.ytimg.com"
"61","0.378527993","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=1401 Win=177 Len=0 TSval=2969281474 TSecr=1341834971"
"62","0.378531315","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=2801 Win=183 Len=0 TSval=2969281475 TSecr=1341834971"
"63","0.378534258","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=4201 Win=188 Len=0 TSval=2969281475 TSecr=1341834971"
"64","0.378536967","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=622 Ack=4682 Win=193 Len=0 TSval=2969281475 TSecr=1341834971"
"65","0.378539959","172.27.26.33","172.217.18.138","TCP","140","[TCP Retransmission] 42312  >  443 [PSH, ACK] Seq=622 Ack=4682 Win=193 Len=74 TSval=2969281476 TSecr=1341834971"
"66","0.422425858","HonHaiPrecis_e8:4c:71","Broadcast","ARP","60","Who has 172.27.217.19? Tell 172.27.23.165"
"67","0.429074180","2a:fd:47:91:0c:0e","Broadcast","ARP","60","Who has 172.27.24.71? Tell 172.27.24.88"
"68","0.456995460","172.27.24.242","172.27.255.255","NBNS","92","Name query NB WPAD<00>"
"69","0.469315361","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=1401 Win=90624 Len=0 TSval=4043356574 TSecr=3688141517"
"70","0.469315028","1e:a5:99:fd:c5:07","Broadcast","XID","60","Basic Format; Type 1 and Type 2 LLCs (Class II LLC); Window Size 26"
"71","0.469332416","172.27.26.33","142.250.201.138","TCP","66","[TCP Dup ACK 69#1] 38522  >  443 [ACK] Seq=576 Ack=1401 Win=90624 Len=0 TSval=4043356574 TSecr=3688141517"
"72","0.469573150","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=2801 Win=93696 Len=0 TSval=4043356578 TSecr=3688141517"
"73","0.469573251","172.27.26.33","172.217.18.138","TCP","78","[TCP Dup ACK 64#1] 42312  >  443 [ACK] Seq=696 Ack=4682 Win=193 Len=0 TSval=2969281664 TSecr=1341835222 SLE=4201 SRE=4682"
"74","0.469573296","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=4201 Win=96256 Len=0 TSval=4043356597 TSecr=3688141517"
"75","0.469573341","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=4667 Win=98816 Len=0 TSval=4043356597 TSecr=3688141517"
"76","0.469573387","172.27.26.33","172.217.18.138","QUIC","75","Protected Payload (KP0)"
"77","0.469573432","172.27.26.33","172.217.18.138","QUIC","75","Protected Payload (KP0)"
"78","0.469581670","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=2801 Win=93696 Len=0 TSval=4043356578 TSecr=3688141517"
"79","0.469588853","172.27.26.33","172.217.18.138","TCP","78","[TCP Dup ACK 64#2] 42312  >  443 [ACK] Seq=696 Ack=4682 Win=193 Len=0 TSval=2969281664 TSecr=1341835222 SLE=4201 SRE=4682"
"80","0.469592257","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=4201 Win=96256 Len=0 TSval=4043356597 TSecr=3688141517"
"81","0.469595454","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=576 Ack=4667 Win=98816 Len=0 TSval=4043356597 TSecr=3688141517"
"82","0.469598722","172.27.26.33","172.217.18.138","QUIC","75","Protected Payload (KP0)"
"83","0.469602533","172.27.26.33","172.217.18.138","QUIC","75","Protected Payload (KP0)"
"84","0.477119558","fe80::e482:c5e9:dadb:aa00","ff02::1:3","LLMNR","84","Standard query 0xb1df AAAA wpad"
"85","0.477119694","fe80::e482:c5e9:dadb:aa00","ff02::1:3","LLMNR","84","Standard query 0x97eb A wpad"
"86","0.479969144","172.27.26.33","192.178.24.246","QUIC","1292","Initial, DCID=91e27b95e9bc79f2, PKN: 1, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING"
"87","0.479969245","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=696 Ack=5684 Win=199 Len=0 TSval=2969281695 TSecr=1341835234"
"88","0.479969290","172.27.26.33","192.178.24.246","TCP","74","40298  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2448119706 TSecr=0 WS=512"
"89","0.479969336","172.27.26.33","172.217.18.138","QUIC","75","Protected Payload (KP0)"
"90","0.479979642","172.27.26.33","192.178.24.246","QUIC","1292","Initial, DCID=91e27b95e9bc79f2, PKN: 1, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING"
"91","0.479991569","172.27.26.33","172.217.18.138","TCP","66","[TCP Dup ACK 87#1] 42312  >  443 [ACK] Seq=696 Ack=5684 Win=199 Len=0 TSval=2969281695 TSecr=1341835234"
"92","0.479995257","172.27.26.33","192.178.24.246","TCP","74","[TCP Retransmission] 40298  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2448119706 TSecr=0 WS=512"
"93","0.479998832","172.27.26.33","172.217.18.138","QUIC","75","Protected Payload (KP0)"
"94","0.512921011","172.27.26.33","142.250.201.138","TLSv1.2","140","Change Cipher Spec, Application Data"
"95","0.512921530","172.27.26.33","142.250.201.138","TLSv1.2","158","Application Data"
"96","0.512922353","172.27.26.33","142.250.201.138","TLSv1.2","247","Application Data"
"97","0.512973355","172.27.26.33","142.250.201.138","TCP","140","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=576 Ack=4667 Win=98816 Len=74 TSval=4043356686 TSecr=3688141517"
"98","0.513025511","172.27.26.33","142.250.201.138","TCP","158","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=650 Ack=4667 Win=98816 Len=92 TSval=4043356687 TSecr=3688141517"
"99","0.513036616","172.27.26.33","142.250.201.138","TCP","247","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=742 Ack=4667 Win=98816 Len=181 TSval=4043356688 TSecr=3688141517"
"100","0.554626866","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=2448119814 TSecr=3066235936"
"101","0.554627132","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=608 Ack=1401 Win=90624 Len=0 TSval=4043356730 TSecr=3987128419"
"102","0.554642725","172.27.26.33","192.178.24.246","TCP","66","[TCP Dup ACK 100#1] 40298  >  443 [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=2448119814 TSecr=3066235936"
"103","0.554673587","172.27.26.33","142.250.201.138","TCP","66","[TCP Dup ACK 101#1] 38524  >  443 [ACK] Seq=608 Ack=1401 Win=90624 Len=0 TSval=4043356730 TSecr=3987128419"
"104","0.570985081","1e:a5:99:fd:c5:07","Broadcast","ARP","64","Gratuitous ARP for 172.27.30.182 (Request)"
"105","0.586049565","172.27.26.33","192.178.24.246","TLSv1.2","629","Client Hello (SNI=i.ytimg.com)"
"106","0.586049838","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=608 Ack=2801 Win=93696 Len=0 TSval=4043356731 TSecr=3987128419"
"107","0.586070732","172.27.26.33","192.178.24.246","TCP","629","[TCP Retransmission] 40298  >  443 [PSH, ACK] Seq=1 Ack=1 Win=88064 Len=563 TSval=2448119816 TSecr=3066235936"
"108","0.586090427","172.27.26.33","142.250.201.138","TCP","66","[TCP Dup ACK 106#1] 38524  >  443 [ACK] Seq=608 Ack=2801 Win=93696 Len=0 TSval=4043356731 TSecr=3987128419"
"109","0.591256674","172.27.25.143","17.188.185.132","TLSv1.2","96","Application Data"
"110","0.591275830","172.27.5.225","172.27.25.143","ICMP","124","Redirect             (Redirect for host)"
"111","0.591286888","172.27.25.143","17.188.185.132","TCP","96","[TCP Retransmission] 57354  >  443 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=30 TSval=2651678594 TSecr=4133598083"
"112","0.593537594","vivoMobileCo_8e:76:a6","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.29.109"
"113","0.615464493","172.27.26.33","142.250.201.138","TLSv1.2","3122","Application Data"
"114","0.615464736","172.27.26.33","142.250.201.138","TLSv1.2","3018","Application Data"
"115","0.615464782","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=6931 Ack=5641 Win=101888 Len=0 TSval=4043356787 TSecr=3688141756"
"116","0.615464826","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=6931 Ack=5806 Win=104448 Len=0 TSval=4043356787 TSecr=3688141757"
"117","0.615482839","172.27.26.33","142.250.201.138","TCP","1090","[TCP Retransmission] 38522  >  443 [ACK] Seq=923 Ack=4667 Win=98816 Len=1024 TSval=4043356753 TSecr=3688141517"
"118","0.615498977","172.27.26.33","142.250.201.138","TCP","1090","[TCP Retransmission] 38522  >  443 [ACK] Seq=1947 Ack=4667 Win=98816 Len=1024 TSval=4043356753 TSecr=3688141517"
"119","0.615502749","172.27.26.33","142.250.201.138","TCP","1074","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=2971 Ack=4667 Win=98816 Len=1008 TSval=4043356753 TSecr=3688141517"
"120","0.615508333","172.27.26.33","142.250.201.138","TCP","1090","[TCP Retransmission] 38522  >  443 [ACK] Seq=3979 Ack=4667 Win=98816 Len=1024 TSval=4043356754 TSecr=3688141517"
"121","0.615510908","172.27.26.33","142.250.201.138","TCP","1090","[TCP Retransmission] 38522  >  443 [ACK] Seq=5003 Ack=4667 Win=98816 Len=1024 TSval=4043356754 TSecr=3688141517"
"122","0.615513828","172.27.26.33","142.250.201.138","TCP","970","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=6027 Ack=4667 Win=98816 Len=904 TSval=4043356754 TSecr=3688141517"
"123","0.615517165","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=6931 Ack=5641 Win=101888 Len=0 TSval=4043356787 TSecr=3688141756"
"124","0.615519898","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=6931 Ack=5806 Win=104448 Len=0 TSval=4043356787 TSecr=3688141757"
"125","0.615526054","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=608 Ack=4201 Win=96256 Len=0 TSval=4043356787 TSecr=3987128419"
"126","0.615526105","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=608 Ack=4667 Win=98816 Len=0 TSval=4043356787 TSecr=3987128419"
"127","0.615528604","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=608 Ack=4201 Win=96256 Len=0 TSval=4043356787 TSecr=3987128419"
"128","0.615532236","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=608 Ack=4667 Win=98816 Len=0 TSval=4043356787 TSecr=3987128419"
"129","0.624580190","ba:93:54:42:bf:98","Broadcast","ARP","60","Gratuitous ARP for 172.27.29.249 (Reply)"
"130","0.626269876","172.27.26.33","142.250.201.138","TLSv1.2","97","Application Data"
"131","0.626269953","172.27.26.33","142.250.201.138","TLSv1.2","105","Application Data"
"132","0.626271496","172.27.26.33","142.250.201.138","TLSv1.2","140","Change Cipher Spec, Application Data"
"133","0.626279765","172.27.26.33","142.250.201.138","TCP","97","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=6931 Ack=5806 Win=104448 Len=31 TSval=4043356789 TSecr=3688141757"
"134","0.626290295","172.27.26.33","142.250.201.138","TCP","105","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=6962 Ack=5806 Win=104448 Len=39 TSval=4043356790 TSecr=3688141757"
"135","0.626293573","172.27.26.33","142.250.201.138","TCP","140","[TCP Retransmission] 38524  >  443 [PSH, ACK] Seq=608 Ack=4667 Win=98816 Len=74 TSval=4043356791 TSecr=3987128419"
"136","0.628800188","86:57:ce:47:bb:5e","Broadcast","ARP","60","Who has 172.27.217.19? Tell 172.27.151.50"
"137","0.670892774","172.27.26.33","192.178.24.234","QUIC","1292","Initial, DCID=5d0f0c24ddc8ba1c, PKN: 5, PING, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PADDING"
"138","0.670906455","172.27.26.33","192.178.24.234","QUIC","1292","Initial, DCID=5d0f0c24ddc8ba1c, PKN: 5, PING, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PADDING"
"139","0.725122141","vivoMobileCo_64:ca:86","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.28.110"
"140","0.725122354","172.27.26.33","172.217.18.138","QUIC","71","Protected Payload (KP0)"
"141","0.725145273","172.27.26.33","172.217.18.138","QUIC","71","Protected Payload (KP0)"
"142","0.734853882","HonHaiPrecis_e8:4c:71","Broadcast","ARP","60","Who has 172.27.151.245? Tell 172.27.23.165"
"143","0.741410294","82:f2:fa:be:3b:86","Broadcast","XID","60","Basic Format; Type 1 and Type 2 LLCs (Class II LLC); Window Size 12"
"144","0.743978909","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=1401 Win=90624 Len=0 TSval=2448120009 TSecr=3066236152"
"145","0.743979012","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=2801 Win=93696 Len=0 TSval=2448120009 TSecr=3066236152"
"146","0.743979059","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=4201 Win=96256 Len=0 TSval=2448120009 TSecr=3066236152"
"147","0.743999509","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=1401 Win=90624 Len=0 TSval=2448120009 TSecr=3066236152"
"148","0.744012932","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=2801 Win=93696 Len=0 TSval=2448120009 TSecr=3066236152"
"149","0.744016075","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=4201 Win=96256 Len=0 TSval=2448120009 TSecr=3066236152"
"150","0.766411636","172.27.26.33","192.178.24.246","TCP","66","40298  >  443 [ACK] Seq=564 Ack=4723 Win=98816 Len=0 TSval=2448120010 TSecr=3066236152"
"151","0.766411804","172.27.26.33","192.178.24.246","QUIC","1292","Initial, DCID=91e27b95e9bc79f2, PKN: 3, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO"
"152","0.766424151","172.27.26.33","192.178.24.246","TCP","66","[TCP Dup ACK 150#1] 40298  >  443 [ACK] Seq=564 Ack=4723 Win=98816 Len=0 TSval=2448120010 TSecr=3066236152"
"153","0.766454152","172.27.26.33","192.178.24.246","QUIC","1292","Initial, DCID=91e27b95e9bc79f2, PKN: 3, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO"
"154","0.773309381","Intel_b2:ad:72","Broadcast","ARP","60","Who has 172.27.217.19? Tell 172.27.30.2"
"155","0.810843696","172.27.25.143","17.253.85.51","QUIC","1392","Initial, DCID=61d2179a975ce31f, SCID=7a0bbc351f0a2fdb, PKN: 0, CRYPTO, PADDING"
"156","0.810843857","172.27.25.143","17.188.185.132","TCP","66","57354  >  443 [ACK] Seq=31 Ack=27 Win=2047 Len=0 TSval=2651678806 TSecr=4133600851"
"157","0.810843905","172.27.25.143","17.253.85.51","QUIC","712","0-RTT, DCID=61d2179a975ce31f, SCID=7a0bbc351f0a2fdb"
"158","0.810868869","172.27.5.225","172.27.25.143","ICMP","590","Redirect             (Redirect for host)"
"159","0.810886444","172.27.25.143","17.253.85.51","QUIC","1392","Initial, DCID=61d2179a975ce31f, SCID=7a0bbc351f0a2fdb, PKN: 0, CRYPTO, PADDING"
"160","0.810891390","172.27.25.143","17.188.185.132","TCP","66","[TCP Dup ACK 156#1] 57354  >  443 [ACK] Seq=31 Ack=27 Win=2047 Len=0 TSval=2651678806 TSecr=4133600851"
"161","0.810895178","172.27.25.143","17.253.85.51","QUIC","712","0-RTT, DCID=61d2179a975ce31f, SCID=7a0bbc351f0a2fdb"
"162","0.831685343","82:f2:fa:be:3b:86","Broadcast","ARP","64","Gratuitous ARP for 172.27.29.199 (Request)"
"163","0.838754262","vivoMobileCo_6f:3b:76","Broadcast","ARP","42","Who has 172.27.0.2? Tell 172.27.27.225"
"164","0.840430278","172.27.5.225","140.82.114.21","TLSv1.2","105","Application Data"
"165","0.856026212","ba:93:54:42:bf:98","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.29.249"
"166","0.856027826","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=682 Ack=5641 Win=101888 Len=0 TSval=4043356934 TSecr=3987128558"
"167","0.856027916","172.27.26.33","192.178.24.246","TLSv1.2","140","Change Cipher Spec, Application Data"
"168","0.856027973","172.27.26.33","192.178.24.246","TLSv1.2","158","Application Data"
"169","0.856028024","172.27.26.33","192.178.24.246","TLSv1.2","239","Application Data"
"170","0.856102784","172.27.26.33","142.250.201.138","TCP","66","[TCP Dup ACK 166#1] 38524  >  443 [ACK] Seq=682 Ack=5641 Win=101888 Len=0 TSval=4043356934 TSecr=3987128558"
"171","0.856128988","172.27.26.33","192.178.24.246","TCP","140","[TCP Retransmission] 40298  >  443 [PSH, ACK] Seq=564 Ack=4723 Win=98816 Len=74 TSval=2448120036 TSecr=3066236152"
"172","0.856135033","172.27.26.33","192.178.24.246","TCP","158","[TCP Retransmission] 40298  >  443 [PSH, ACK] Seq=638 Ack=4723 Win=98816 Len=92 TSval=2448120038 TSecr=3066236152"
"173","0.856139421","172.27.26.33","192.178.24.246","TCP","239","[TCP Retransmission] 40298  >  443 [PSH, ACK] Seq=730 Ack=4723 Win=98816 Len=173 TSval=2448120039 TSecr=3066236152"
"174","0.950519530","2e:fd:cd:77:0c:0e","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.28.34"
"175","0.957056154","ea:e0:bf:e0:d7:d8","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.30.121"
"176","0.959811161","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=7409 Win=110080 Len=0 TSval=4043357136 TSecr=3688142015"
"177","0.959811244","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=10209 Win=115712 Len=0 TSval=4043357136 TSecr=3688142015"
"178","0.959811288","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=13009 Win=121344 Len=0 TSval=4043357136 TSecr=3688142015"
"179","0.959811334","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=15809 Win=126976 Len=0 TSval=4043357136 TSecr=3688142023"
"180","0.959811379","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=18609 Win=132608 Len=0 TSval=4043357137 TSecr=3688142032"
"181","0.959821889","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=7409 Win=110080 Len=0 TSval=4043357136 TSecr=3688142015"
"182","0.959853888","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=10209 Win=115712 Len=0 TSval=4043357136 TSecr=3688142015"
"183","0.959857135","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=7001 Ack=13009 Win=121344 Len=0 TSval=4043357136 TSecr=3688142015"
